Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b579095	[Fx 4.0 beta1] Larry doesn't display domain name nor identity info for https pages in the address bar	https://bugzilla.mozilla.org/show_bug.cgi?id=579095	"
a/browser/base/content/browser.js"	https://bugzilla.mozilla.org/attachment.cgi?id=460525&action=diff	"
    this._identityIconLabel.parentNode.hidden = icon_label ? false : true;"	"
    this._identityIconLabel.parentNode.collapsed = icon_label ? false : true;"
b1237077	drag and drop handlers need to use the proper user context id	https://bugzilla.mozilla.org/show_bug.cgi?id=1237077	"
a/dom/base/contentAreaDropListener.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8742198&action=diff	"
                               : secMan.getSimpleCodebasePrincipal(ioService.newURI(""file:///"", null, null));"	"
                               : secMan.createCodebasePrincipal(ioService.newURI(""file:///"", null, null), {});"
b1199466	Update the Cookie Management UI to include userContextId	https://bugzilla.mozilla.org/show_bug.cgi?id=1199466	"
a/netwerk/cookie/nsCookie.cpp
b699586	Bug in Content Security Policy for setInterval and setTimeout when argument is a function	https://bugzilla.mozilla.org/show_bug.cgi?id=699586
b402207	"SSL error page ""Add Exception"" support should be pref-controlled"	https://bugzilla.mozilla.org/show_bug.cgi?id=402207	"
browser/app/profile/firefox.js
browser/base/content/browser.js
security/manager/pki/resources/content/exceptionDialog.js"	https://bugzilla.mozilla.org/attachment.cgi?id=289553&action=diff		
b408211	Larry keeps focus, requires more clicks than usual	https://bugzilla.mozilla.org/show_bug.cgi?id=408211
b432241	Identity popup calls override service incorrectly now	https://bugzilla.mozilla.org/show_bug.cgi?id=432241	"
browser/base/content/browser.js"	https://bugzilla.mozilla.org/attachment.cgi?id=319413&action=diff	"
      locationObj.hostname = location.hostname

   *                           .hostname)
                                                    this._lastLocation.port, "	"
      locationObj.hostname = location.hostname;
      locationObj.port = location.port;
   *                           .hostname and .port)
                                                    (this._lastLocation.port || 443),"
b442839	"""Get me out of here..."" should direct to home page"	https://bugzilla.mozilla.org/show_bug.cgi?id=442839
b842198	Move browser_bug822367.js test to browser/	https://bugzilla.mozilla.org/show_bug.cgi?id=842198	"
a/browser/base/content/test/Makefile.in
a/content/base/test/chrome/browser_bug822367.js
a/content/base/test/file_bug822367_1.html
a/content/base/test/file_bug822367_3.html
a/content/base/test/file_bug822367_4.html
a/content/base/test/file_bug822367_4.js
a/content/base/test/file_bug822367_4B.html
a/content/base/test/file_bug822367_5.html
a/content/base/test/file_bug822367_6.html
a/content/base/test/Makefile.in
a/content/base/test/chrome/Makefile.in"	https://bugzilla.mozilla.org/attachment.cgi?id=715765&action=diff		
b435035	Identity UI should use different strings for mixed content	https://bugzilla.mozilla.org/show_bug.cgi?id=435035	"
a/browser/base/content/browser.js
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug435035.js
a/browser/base/content/test/test_bug435035.html
a/browser/locales/en-US/chrome/browser/browser.properties"	https://bugzilla.mozilla.org/attachment.cgi?id=400023&action=diff	"
  get _staticStrings () {
    delete this._staticStrings;
    this._staticStrings = {};
    this._staticStrings[this.IDENTITY_MODE_DOMAIN_VERIFIED] = {
      encryption_label: gNavigatorBundle.getString(""identity.encrypted"")
    };
    this._staticStrings[this.IDENTITY_MODE_IDENTIFIED] = {
      encryption_label: gNavigatorBundle.getString(""identity.encrypted"")
    };
    this._staticStrings[this.IDENTITY_MODE_UNKNOWN] = {
      encryption_label: gNavigatorBundle.getString(""identity.unencrypted"")
    };
    return this._staticStrings;
    
    if (state & Components.interfaces.nsIWebProgressListener.STATE_IDENTITY_EV_TOPLEVEL)

    else if (state & Components.interfaces.nsIWebProgressListener.STATE_SECURE_HIGH)
    this._identityPopupEncLabel.textContent = this._staticStrings[newMode].encryption_label;"	"
  get _encryptionLabel () {
    delete this._encryptionLabel;
    this._encryptionLabel = {};
    this._encryptionLabel[this.IDENTITY_MODE_DOMAIN_VERIFIED] =
      gNavigatorBundle.getString(""identity.encrypted"");
    this._encryptionLabel[this.IDENTITY_MODE_IDENTIFIED] =
      gNavigatorBundle.getString(""identity.encrypted"");
    this._encryptionLabel[this.IDENTITY_MODE_UNKNOWN] =
      gNavigatorBundle.getString(""identity.unencrypted"");
    this._encryptionLabel[this.IDENTITY_MODE_MIXED_CONTENT] =
      gNavigatorBundle.getString(""identity.mixed_content"");
    return this._encryptionLabel;


    let nsIWebProgressListener = Ci.nsIWebProgressListener;
    if (state & nsIWebProgressListener.STATE_IDENTITY_EV_TOPLEVEL)
    else if (state & nsIWebProgressListener.STATE_SECURE_HIGH)
    this._identityPopupEncLabel.textContent = this._encryptionLabel[newMode];"
b514475	Remove the padlock from the status bar	https://bugzilla.mozilla.org/show_bug.cgi?id=514475	"
a/browser/base/content/browser.js
a/browser/base/content/browser.xul
a/browser/base/content/test/browser_pageInfo.js
a/browser/themes/gnomestripe/browser/browser.css
a/browser/themes/gnomestripe/browser/jar.mn
a/browser/themes/pinstripe/browser/browser.css
a/browser/themes/pinstripe/browser/jar.mn
a/browser/themes/winstripe/browser/browser.css
a/browser/themes/winstripe/browser/jar.mn"	https://bugzilla.mozilla.org/attachment.cgi?id=398425&action=diff	"
    if (level) {
      this.securityButton.setAttribute(""level"", level);
      this.securityButton.hidden = false;
      // We don't style the Location Bar based on the the 'level' attribute
      // anymore, but still set it for third-party themes.
      if (gURLBar)
    } else {
      this.securityButton.hidden = true;
      this.securityButton.removeAttribute(""level"");
      if (gURLBar)"	"
    // We don't style the Location Bar based on the the 'level' attribute
    // anymore, but still set it for third-party themes.
    if (gURLBar) {
      if (level)

      else
"
b742645	Adding exception accidentally allowed in framed certificate error page	https://bugzilla.mozilla.org/show_bug.cgi?id=742645	"
a/browser/components/certerror/content/aboutCertError.css
a/browser/components/certerror/content/aboutCertError.xhtml"	https://bugzilla.mozilla.org/attachment.cgi?id=612514&action=diff		
b893424	Fix XULBrowserWindow's broken _hostChanged logic	https://bugzilla.mozilla.org/show_bug.cgi?id=893424	"
a/browser/base/content/browser.js
a/browser/base/content/test/browser_bug882977.js"	https://bugzilla.mozilla.org/attachment.cgi?id=775194&action=diff	"
    // Initialize the security button's state and tooltip text.  Remember to reset
    // _hostChanged, otherwise onSecurityChange will short circuit.
  _hostChanged: false, // onLocationChange will flip this bit
        !this._hostChanged) {
#ifdef DEBUG
      try {
        var contentHost = gBrowser.contentWindow.location.host;
        if (this._host !== undefined && this._host != contentHost) {
            Components.utils.reportError(
              ""ASSERTION: browser.js host is inconsistent. Content window has "" +
              ""<"" + contentHost + ""> but cached host is <"" + this._host + "">.\n""
            );
        }
      } catch (ex) {}
#endif
    }

#ifdef DEBUG
    try {
      this._host = gBrowser.contentWindow.location.host;
    } catch(ex) {
      this._host = null;
    }
#endif

    this._hostChanged = false;"	"
    // Initialize the security button's state and tooltip text.

  _lastLocation: null,
        this._lastLocation == uri.spec)


    this._lastLocation = uri.spec;
"
b388803	The binary release For Solaris 10 is missing libraries	https://bugzilla.mozilla.org/show_bug.cgi?id=388803
b767676	Implement Security UI Telemetry	https://bugzilla.mozilla.org/show_bug.cgi?id=767676	"
a/browser/base/content/browser.js
a/docshell/base/nsDocShell.cpp
a/security/manager/boot/public/nsISecurityUITelemetry.idl
a/security/manager/pki/resources/content/exceptionDialog.js"	https://bugzilla.mozilla.org/attachment.cgi?id=641739&action=diff		
b850435	Malware/phishing UI Telmetry does not separately measure iframes	https://bugzilla.mozilla.org/show_bug.cgi?id=850435	"
a/browser/base/content/browser.js
a/docshell/base/nsDocShell.cpp
a/security/manager/boot/public/nsISecurityUITelemetry.idl"	https://bugzilla.mozilla.org/attachment.cgi?id=730758&action=diff		
b297038	Insufficient validation in browser.js can lead to arbitrary code execution	https://bugzilla.mozilla.org/show_bug.cgi?id=297038	"
browser/base/content/browser.js"	https://bugzilla.mozilla.org/attachment.cgi?id=185670&action=diff		
b285436	Idea for new cookie handling	https://bugzilla.mozilla.org/show_bug.cgi?id=285436
b285669	provide option to change settings for alert when switching from secure/insecure mode	https://bugzilla.mozilla.org/show_bug.cgi?id=285669
b286418	non-responsive https server leaves SSL lock locked showing previous site's DNSname	https://bugzilla.mozilla.org/show_bug.cgi?id=286418
b287210	Cannot determine root certificate for a web site	https://bugzilla.mozilla.org/show_bug.cgi?id=287210
b287287	"""Security Error: Domain Name Mismatch"" - Cancel button fails to reset location-bar URI"	https://bugzilla.mozilla.org/show_bug.cgi?id=287287
b288109	No consumer differentiation between Class 2 and Class 3 SSL certificates	https://bugzilla.mozilla.org/show_bug.cgi?id=288109
b288732	Malformed URL cause FireFox to have strange behavior and crash	https://bugzilla.mozilla.org/show_bug.cgi?id=288732
b289187	track 1.0.3 security audit work and fixes for related security bugs	https://bugzilla.mozilla.org/show_bug.cgi?id=289187
b289299	"Win2K hangs after pasting long text into <input type=""text"">"	https://bugzilla.mozilla.org/show_bug.cgi?id=289299
b289847	"Closing the ""Security Warning"" will not prevent a secure site from loading."	https://bugzilla.mozilla.org/show_bug.cgi?id=289847
b289966	firefox spawns instance of IE, installs spyware	https://bugzilla.mozilla.org/show_bug.cgi?id=289966
b291314	content calling java methods causes trouble	https://bugzilla.mozilla.org/show_bug.cgi?id=291314
b291645	Go Home can execute javascript in other sites	https://bugzilla.mozilla.org/show_bug.cgi?id=291645
b291745	"cross site scripting if the user opens a link and then presses ""back"""	https://bugzilla.mozilla.org/show_bug.cgi?id=291745
b291849	cannot access https: from firefox 1.nnn on Dell Latitude	https://bugzilla.mozilla.org/show_bug.cgi?id=291849
b292499	"Addon Install feature can execute javascript in context of ""chrome"""	https://bugzilla.mozilla.org/show_bug.cgi?id=292499
b292691	Full Remote Compromise using some of my previous vulns	https://bugzilla.mozilla.org/show_bug.cgi?id=292691	"
docshell/base/nsDocShell.cpp"	https://bugzilla.mozilla.org/attachment.cgi?id=183002&action=diff		
b294323	function onFullScreen() should check for untrusted events	https://bugzilla.mozilla.org/show_bug.cgi?id=294323
b304388	Add hostname to title bar of windows that don't have location bars	https://bugzilla.mozilla.org/show_bug.cgi?id=304388	"
xpfe/appshell/src/nsContentTreeOwner.cpp
xpfe/global/resources/content/bindings/tabbrowser.xml
content/html/document/src/nsHTMLDocument.cpp
toolkit/content/widgets/tabbrowser.xml"	https://bugzilla.mozilla.org/attachment.cgi?id=197923&action=diff		
b370555	URL bar not always updated when scripts interact with about:blank windows	https://bugzilla.mozilla.org/show_bug.cgi?id=370555	"
browser/base/content/browser.js
toolkit/content/widgets/tabbrowser.xml"	https://bugzilla.mozilla.org/attachment.cgi?id=255442&action=diff	"
    if (url != ""about:blank"") {
      if (location == ""about:blank"" || location == """") {   //second condition is for new tabs, otherwise
"	"
    if (url != ""about:blank"" || content.opener) {
      if ((location == ""about:blank"" && !content.opener) 
          || location == """") {   //second condition is for new tabs, otherwise"
b394075	Resource Directory Traversal Vulnerability	https://bugzilla.mozilla.org/show_bug.cgi?id=394075
b427293	"""Secure Connection Failed"" makes it difficult to work in the web hosting industry"	https://bugzilla.mozilla.org/show_bug.cgi?id=427293	"
docshell/base/nsDocShell.cpp
docshell/resources/content/netError.xhtml
browser/app/profile/firefox.js
mail/app/profile/all-thunderbird.js
suite/browser/browser-prefs.js
camino/resources/application/all-camino.js.in"	https://bugzilla.mozilla.org/attachment.cgi?id=318920&action=diff		
b377245	[SoC] Link Fingerprints	https://bugzilla.mozilla.org/show_bug.cgi?id=377245	"
toolkit/components/downloads/src/nsDownloadManager.cpp
toolkit/components/downloads/src/nsDownloadManager.h"	https://bugzilla.mozilla.org/attachment.cgi?id=266400&action=diff		
b556957	Address bar spoofing possible via window.open() + HTTP 204 responses or window.stop()	https://bugzilla.mozilla.org/show_bug.cgi?id=556957	"
a/browser/base/content/browser.js"	https://bugzilla.mozilla.org/attachment.cgi?id=441581&action=diff		
b645564	"""view-source:"" on DV SSL does not update site identity button text -> spoofing"	https://bugzilla.mozilla.org/show_bug.cgi?id=645564	"
a/browser/base/content/browser.js
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug420160.js"	https://bugzilla.mozilla.org/attachment.cgi?id=523174&action=diff	"
      if (this._overrideService.hasMatchingOverride(this._lastLocation.hostname,

      // Updating the tooltip value in those cases isn't critical.
      // FIXME: Fixing bug 646690 would probably makes this check unnecessary
      if (this._lastLocation.hostname &&
          this._overrideService.hasMatchingOverride(this._lastLocation.hostname,"	"
      // .hostname can return an empty string in some exceptional cases -
      // hasMatchingOverride does not handle that, so avoid calling it."
b286482	Show when users are visiting a site over SSL they haven't previously visited	https://bugzilla.mozilla.org/show_bug.cgi?id=286482
b1100687	Fix browser_addCertException.js and browser_blockHPKP.js to work under e10s	https://bugzilla.mozilla.org/show_bug.cgi?id=1100687
b1126675	Site identity data is not updated in some cases of weird certificates	https://bugzilla.mozilla.org/show_bug.cgi?id=1126675	"
a/browser/base/content/browser.js
a/mobile/android/chrome/content/browser.js
a/security/manager/pki/resources/content/editcerts.js
a/security/manager/tools/genRootCAHashes.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8555893&action=diff	"
    if (cert.subjectName) {

      subjectName = cert.subjectName;
    } catch (ex) { /* invalid certs can throw here. */ }
    if (subjectName) {
      cert.subjectName.split("","").forEach(function(v) {"	"
    let subjectName;
    try {
      subjectName.split("","").forEach(function(v) {"
b1234386	[META} Fixing createPrincipalFromReferer callers to support contextual identities.	https://bugzilla.mozilla.org/show_bug.cgi?id=1234386
b1235655	add chromeutils for JS manipulation of origin attributes	https://bugzilla.mozilla.org/show_bug.cgi?id=1235655	"
a/dom/base/ChromeUtils.cpp
a/dom/base/ChromeUtils.h
a/dom/webidl/ChromeUtils.webidl"	https://bugzilla.mozilla.org/attachment.cgi?id=8709583&action=diff		
b1237078	live mark service needs to use createCodebasePrincipal and global user context id origin attribute	https://bugzilla.mozilla.org/show_bug.cgi?id=1237078	"
a/toolkit/components/places/nsLivemarkService.js"	https://bugzilla.mozilla.org/attachment.cgi?id=8717681&action=diff	"
        loadingPrincipal: Services.scriptSecurityManager.createCodebasePrincipal(this.feedURI, {}),"	"
        loadingPrincipal: Services.scriptSecurityManager.createCodebasePrincipal(this.feedURI, attrs),"
b633691	Mitigate clickjacking of about:certerror	https://bugzilla.mozilla.org/show_bug.cgi?id=633691	"
a/browser/components/certerror/content/aboutCertError.xhtml"	https://bugzilla.mozilla.org/attachment.cgi?id=578412&action=diff	"
        // if this is a Strict-Transport-Security host and the cert
        // is bad, don't allow overrides (STS Spec section 7.3).
        if (getCSSClass() == ""badStsCert"") {
"	"
        // Disallow overrides if this is a Strict-Transport-Security
        // host and the cert is bad (STS Spec section 7.3) or if the
        // certerror is in a frame (bug 633691).
        if (getCSSClass() == ""badStsCert"" || top !== self) {"
b882977	Identity state of IDENTITY_MODE_UNKNOWN is set for about:home when a new window is created	https://bugzilla.mozilla.org/show_bug.cgi?id=882977	"
a/browser/base/content/test/Makefile.in
a/browser/base/content/test/browser_bug882977.js"	https://bugzilla.mozilla.org/attachment.cgi?id=772380&action=diff		
b1215408	Observe pref change of packaged-app-developer-trusted-root	https://bugzilla.mozilla.org/show_bug.cgi?id=1215408
b1224084	Create a website running package signing tools.	https://bugzilla.mozilla.org/show_bug.cgi?id=1224084
